Model,R2 Score,MAE,MSE,RMSE
XGBoost,0.5948856514860039,0.08173096893095692,0.010659658593842563,0.10324562263768165
Random Forest,0.5819625240789347,0.08266293214521246,0.010999701168561016,0.10487946018435171
KNN,0.5152179858054173,0.0904575238240071,0.012755931214742092,0.112942158712954
